accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
EU199308.1	A/Illinois/01/2006	H1N1	2006-12-11	Homo sapiens		USA	North America		1698
CY172543.1	A/New York/1050/2006	H1N1	2006-12-11	Homo sapiens		USA: Erie County, NY	North America		1730
CY085806.2	A/swine/Hong Kong/1791/2006	H1N1	2006-12-14	Sus scrofa		Hong Kong	Asia		1706
CY027147.1	A/North Carolina/UR06-0011/2006	H1N1	2006-12-18	Homo sapiens		USA: North Carolina, Winston-Salem	North America	Primary Specimen passage(s)	1726
KP457703.1	A/Wisconsin/49/2006	H1N1	2006-12-29	Homo sapiens		USA: Wisconsin	North America		1695
KP456657.1	A/Valparaiso/514/2007	H1N1	2007-01-03	Homo sapiens		Chile	South America		1695
CY037783.1	A/Tennessee/UR06-0106/2007	H1N1	2007-01-29	Homo sapiens		USA: Tullahoma, TN	North America		1726
CY026875.1	A/Kentucky/UR06-0123/2007	H1N1	2007-01-30	Homo sapiens		USA: Kentucky, Hopkinsville	North America	Primary Specimen passage(s)	1727
KP456549.1	A/Jilin Zhenlai/177/2007	H1N1	2007-02-02	Homo sapiens		China: Jilin	Asia		1695
KP458632.1	A/Mississippi/UR06-0145/2007	H1N1	2007-02-02	Homo sapiens		USA: Mississippi	North America		1695
CY119250.1	A/Malaysia/1718958/2007	H1N1	2007-02-09	Homo sapiens		Malaysia	Asia	P1 passage(s)	1747
CY027347.1	A/Illinois/UR06-0249/2007	H1N1	2007-02-12	Homo sapiens		USA: Naperville, Illinois	North America	Primary Specimen passage(s)	1744
CY025971.1	A/Ohio/UR06-0325/2007	H1N1	2007-02-16	Homo sapiens		USA: Washington, OH	North America	Primary Specimen passage(s)	1727
CY026371.1	A/Mississippi/UR06-0378/2007	H1N1	2007-02-20	Homo sapiens		USA: Mississippi, Aberdeen	North America	Primary Specimen passage(s)	1743
CY028155.1	A/Virginia/UR06-0351/2007	H1N1	2007-02-20	Homo sapiens		USA: Richmond, Virginia	North America	Primary Specimen passage(s)	1725
CY027635.1	A/Tennessee/UR06-0388/2007	H1N1	2007-02-22	Homo sapiens		USA: Knoxville, Tennessee	North America	Primary Specimen passage(s)	1725
KP457692.1	A/Peru/1169/2007	H1N1	2007-02-25	Homo sapiens		Peru	South America		1695
CY054554.1	A/Dornogobi/1726/2007	H1N1	2007-02-27	Homo sapiens		Mongolia: Dornogobi	Asia	MDCK1 passage(s)	1698
CY025563.1	A/Texas/UR06-0461/2007	H1N1	2007-02-27	Homo sapiens		USA: Texas, Conroe	North America	Primary Specimen passage(s)	1744
KP457261.1	A/Ohio/UR06-0465/2007	H1N1	2007-02-28	Homo sapiens		USA: Ohio	North America		1695
CY026499.1	A/Texas/UR06-0468/2007	H1N1	2007-03-01	Homo sapiens		USA: Texas, Conroe	North America	Primary Specimen passage(s)	1727
CY026395.1	A/Mississippi/UR06-0595/2007	H1N1	2007-03-13	Homo sapiens		USA: Mississippi, Aberdeen	North America	Primary Specimen passage(s)	1743
CY118044.1	A/Malaysia/1758994/2007	H1N1	2007-04-05	Homo sapiens		Malaysia	Asia	P1 passage(s)	1748
MK365327.1	A/swine/Fronhausen/6059/2007	H1N1	2007-04-12	Sus scrofa		Germany: Fronhausen	Europe		1777
KP223141.1	A/Singapore/30L/2007	H1N1	2007-05-10	Homo sapiens		Singapore	Asia		1743
KF533064.1	A/Singapore/106L/2007	H1N1	2007-05-25	Homo sapiens		Singapore	Asia		1743
GQ404705.2	A/Egyptian goose/South Africa/AI1448/2007	H1N8	2007-06-05	Struthio camelus		South Africa	Africa		1772
KP456460.1	A/Hong Kong/2613/2007	H1N1	2007-06-05	Homo sapiens		Hong Kong	Asia		1695
FJ752522.1	A/swine/Pingtung/64-26/2007	H1N1	2007-06-05	Sus scrofa		Taiwan	Asia		1701
KP457622.1	A/Guyane/31/2007	H1N1	2007-06-26	Homo sapiens		French Guiana	South America		1695
KP458398.1	A/Brisbane/59/2007	H1N1	2007-07-01	Homo sapiens		Australia: Queensland	Oceania		1695
KF009550.1	A/Brisbane/59/2007	H1N1	2007-07-01	Homo sapiens		Australia	Oceania		1698
CY030230.1	A/Brisbane/59/2007(H1N1)	H1N1	2007-07-01	Homo sapiens		Australia: Queensland	Oceania	MDCKx passage(s)	1761
CY030232.1	A/Brisbane/59/2007(H1N1)	H1N1	2007-07-01	Homo sapiens		Australia	Oceania	E2 passage(s)	1776
FJ375206.1	A/Cambodia/0374/2007	H1N1	2007-08-10	Homo sapiens		Cambodia	Asia		1698
KP459142.1	A/Cambodia/365/2007	H1N1	2007-08-21	Homo sapiens		Cambodia	Asia		1695
CY119274.1	A/Malaysia/1842338/2007	H1N1	2007-08-22	Homo sapiens		Malaysia	Asia	P3 passage(s)	1745
MK338917.1	A/swine/Rotthalmuenster/6376a/2007	H1N2	2007-08-22	Sus scrofa		Germany: Rotthalmuenster	Europe		1779
FJ375208.1	A/Cambodia/502/2007	H1N1	2007-08-27	Homo sapiens		Cambodia	Asia		1698
KR066554.1	A/swine/Denmark/102529-1/2007	H1N2	2007-09-06	Sus scrofa		Denmark	Europe		1698
KP458108.1	A/Victoria/07159220/2007	H1N1	2007-10-03	Homo sapiens		Australia: Victoria	Oceania		1695
FJ743475.1	A/Victoria/07159220/2007	H1N1	2007-10-03	Homo sapiens		Australia: Victoria, Melbourne	Oceania		1771
CY031386.1	A/Victoria/07159220/2007(H1N1)	H1N1	2007-10-03	Homo sapiens		Australia	Oceania		1771
KP637382.1	A/Thailand/MR07060/2007	H1N1	2007-10-08	Homo sapiens		Thailand: Chiangrai	Asia		1704
MK338933.1	A/swine/Radlinghausen/6528/2007	H1N2	2007-10-08	Sus scrofa		Germany: Radlinghausen	Europe		1776
FJ445089.1	A/England/557/2007	H1N1	2007-11-15	Homo sapiens		United Kingdom	Europe		1698
KP459181.1	A/Norway/1629/2007	H1N1	2007-11-20	Homo sapiens		Norway	Europe		1695
KP457321.1	A/Norway/1684/2007	H1N1	2007-11-26	Homo sapiens		Norway	Europe		1695
MK338949.1	A/swine/Coesfeld/6693/2007	H1N2	2007-11-28	Sus scrofa		Germany: Coesfeld	Europe		1778
KP637310.1	A/Thailand/KS07117/2007	H1N1	2007-12-06	Homo sapiens		Thailand: Chumphon	Asia		1704
KP458776.1	A/Norway/1701/2007	H1N1	2007-12-07	Homo sapiens		Norway	Europe		1695
EU716538.1	A/Colorado/39/2007	H1N1	2007-12-09	Homo sapiens		USA	North America		1727
KP457295.1	A/Norway/1739/2007	H1N1	2007-12-11	Homo sapiens		Norway	Europe		1695
KP457855.1	A/Illinois/10/2007	H1N1	2007-12-12	Homo sapiens		USA: Illinois	North America		1695
KP456666.1	A/Lyon/1350/2007	H1N1	2007-12-14	Homo sapiens		France	Europe		1695
KR066558.1	A/swine/Denmark/103463-1/2007	H1N1	2007-12-18	Sus scrofa		Denmark	Europe		1698
KP457914.1	A/Stockholm/6/2007	H1N1	2007-12-24	Homo sapiens		Sweden	Europe		1695
KP457403.1	A/England/654/2007	H1N1	2007-12-31	Homo sapiens		United Kingdom	Europe		1695
AB514937.1	A/swine/Ratchaburi/NIAH101942/2008	H1N1	2008-01	Sus scrofa		Thailand:Ratchaburi	Asia	Gallus gallus	1701
KP456464.1	A/Brisbane/1/2008	H1N1	2008-01-03	Homo sapiens		Australia: Queensland	Oceania		1695
EU716574.1	A/Florida/02/2008	H1N1	2008-01-04	Homo sapiens		USA	North America		1727
CY036692.1	A/Norway/76/2008(H1N1)	H1N1	2008-01-04	Homo sapiens		Norway	Europe		1723
KP456364.1	A/England/26/2008	H1N1	2008-01-09	Homo sapiens		United Kingdom	Europe		1695
KP458980.1	A/Bucuresti/134/2008	H1N1	2008-01-14	Homo sapiens		Romania	Europe		1695
CY036672.1	A/Norway/169/2008(H1N1)	H1N1	2008-01-16	Homo sapiens		Norway	Europe		1723
CY040106.1	A/Taiwan/70132/2008	H1N1	2008-01-16	Homo sapiens		Taiwan: Taoyuan	Asia	MDCK1;E1 passage(s)	1704
KP458403.1	A/Norway/243/2008	H1N1	2008-01-29	Homo sapiens		Norway	Europe		1695
KP456736.1	A/Colombia/11730/2008	H1N1	2008-02-02	Homo sapiens		Colombia	South America		1695
KP456228.1	A/Norway/365/2008	H1N1	2008-02-13	Homo sapiens		Norway	Europe		1695
CY038807.1	A/Florida/UR07-0026/2008	H1N1	2008-02-15	Homo sapiens		USA: St. Petersburg, FL	North America		1713
KP459314.1	A/Ecuador/5179/2008	H1N1	2008-02-26	Homo sapiens		Ecuador	South America		1695
FJ536802.1	A/swine/Shandong/187/2008	H1N1	2008-03	Sus scrofa		China	Asia		1778
KP458405.1	A/Santiago/4689/2008	H1N1	2008-04-03	Homo sapiens		Chile	South America		1695
MK365527.1	A/swine/Twistringen/7044/2008	H1N1	2008-04-22	Sus scrofa		Germany: Twistringen	Europe		1777
MK365543.1	A/swine/Uelzen/7066/2008	H1N1	2008-04-25	Sus scrofa		Germany: Uelzen	Europe		1777
KP456630.1	A/Belem/241/2008	H1N1	2008-05-05	Homo sapiens		Brazil	South America		1695
FJ750522.1	A/ferret/Iowa/15828B/2008	H1N1	2008-05-09	Mustela putorius furo		USA	North America		1701
KP457629.1	A/Santiago/6892/2008	H1N1	2008-05-12	Homo sapiens		Chile	South America		1695
CY118167.1	A/Malaysia/1999752/2008	H1N1	2008-05-14	Homo sapiens		Malaysia	Asia	P1 passage(s)	1748
KP456700.1	A/Brazil/529/2008	H1N1	2008-05-29	Homo sapiens		Brazil	South America		1695
FJ743464.1	A/Johannesburg/28/2008	H1N1	2008-05-29	Homo sapiens		South Africa: Gauteng	Africa		1750
MH501281.1	A/ruddy turnstone/Delaware/Sg-00549/2008	H1N5	2008-05-31	Arenaria interpres		USA: Delaware	North America		1734
KP458740.1	A/South Australia/1/2008	H1N1	2008-06-05	Homo sapiens		Australia: South Australia	Oceania		1695
FJ743466.1	A/South Australia/1/2008	H1N1	2008-06-05	Homo sapiens		Australia: South Australia	Oceania		1748
KP458578.1	A/Uruguay/08/2008	H1N1	2008-06-09	Homo sapiens		Uruguay	South America		1695
FJ743454.1	A/Johannesburg/37/2008	H1N1	2008-06-10	Homo sapiens		South Africa: Gauteng	Africa		1750
KR066549.1	A/swine/Denmark/16241-2/2008	H1N1	2008-06-18	Sus scrofa		Denmark	Europe		1698
CY039479.1	A/Managua/4086.02/2008	H1N1	2008-06-25	Homo sapiens		Nicaragua: Managua	North America	MDCK 1 passage(s)	1740
CY100876.2	A/Medellin/WRAIR1297P/2008	H1N1	2008-06-28	Homo sapiens		Colombia: Medellin	South America	MDCK2 passage(s)	1730
KP457285.1	A/Uruguay/34/2008	H1N1	2008-07-03	Homo sapiens		Uruguay	South America		1695
KP458410.1	A/Victoria/501/2008	H1N1	2008-07-10	Homo sapiens		Australia: Victoria	Oceania		1695
FJ743456.1	A/Victoria/501/2008	H1N1	2008-07-10	Homo sapiens		Australia: Victoria	Oceania		1769
KP456807.1	A/Argentina/307/2008	H1N1	2008-07-14	Homo sapiens		Argentina	South America		1695
KP457644.1	A/Hong Kong/1492/2008	H1N1	2008-07-14	Homo sapiens		Hong Kong	Asia		1695
KP458330.1	A/Sydney/11/2008	H1N1	2008-07-17	Homo sapiens		Australia: New South Wales	Oceania		1695
KP458741.1	A/Sydney/9/2008	H1N1	2008-07-17	Homo sapiens		Australia: New South Wales	Oceania		1695
KP457764.1	A/Sydney/15/2008	H1N1	2008-07-18	Homo sapiens		Australia: New South Wales	Oceania		1695
FJ743452.1	A/Johannesburg/279/2008	H1N1	2008-07-22	Homo sapiens		South Africa: Gauteng	Africa		1756
KP457987.1	A/Argentina/4152/2008	H1N1	2008-07-23	Homo sapiens		Argentina	South America		1695
KP458151.1	A/Brazil/1892/2008	H1N1	2008-07-28	Homo sapiens		Brazil	South America		1695
CY091729.1	A/swine/Guangdong/01/2008	H1N1	2008-07-30	Sus scrofa		China: Guangdong	Asia		1778
CY203076.1	A/mallard/Maryland/08OS1343/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1750
CY190035.1	A/mallard/Maryland/08OS1347/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: Maryland	North America	Egg 1 passage(s)	1752
CY190043.1	A/mallard/Maryland/08OS1348/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: Maryland	North America	Egg 1 passage(s)	1752
CY190083.1	A/mallard/Maryland/08OS1365/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: Maryland	North America	Egg 1 passage(s)	1752
CY203132.1	A/mallard/Maryland/08OS1367/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1735
CY190283.1	A/mallard/Maryland/08OS1376/2008	H1N1	2008-08-06	Anas platyrhynchos		USA: Maryland	North America	Egg 1 passage(s)	1752
KP457874.1	A/Perth/33/2008	H1N1	2008-08-16	Homo sapiens		Australia: Western Australia	Oceania		1695
FJ743473.1	A/Perth/33/2008	H1N1	2008-08-16	Homo sapiens		Australia: Western Australia, Kalgoorlie	Oceania		1741
KP456705.1	A/New Caledonia/2/2008	H1N1	2008-08-22	Homo sapiens		New Caledonia	Oceania		1695
KP457602.1	A/New Caledonia/6/2008	H1N1	2008-08-25	Homo sapiens		New Caledonia	Oceania		1695
FJ743462.1	A/New Caledonia/6/2008	H1N1	2008-08-25	Homo sapiens		New Caledonia	Oceania		1747
CY115849.1	A/swine/Cotes d'Armor/0274/2008	H1N1	2008-09	Sus scrofa		France: Bretagne	Europe		1777
KP457432.1	A/Perth/84/2008	H1N1	2008-09-01	Homo sapiens		Australia: Western Australia	Oceania		1695
MK365599.1	A/swine/Pocking/7498/2008	H1N1	2008-09-03	Sus scrofa		Germany: Pocking	Europe		1777
CY140358.1	A/blue-winged teal/North Dakota/Sg-00735/2008	H1N1	2008-09-05	Spatula discors		USA: Lake Audobon, McLean county, ND	North America	E1 passage(s)	1746
CY158233.1	A/swine/North Carolina/SG1314/2008	H1N1	2008-09-16	Sus scrofa		USA: North Carolina	North America	MDCK 1 passage(s)	1701
CY104974.1	A/Hue/H339/2008	H1N1	2008-09-17	Homo sapiens		Viet Nam: Hue	Asia	MDCK passage(s)	1749
JX826516.1	A/swine/Colombia/0401/2008	H1N1	2008-10	Sus scrofa		Colombia	South America		1778
MK365639.1	A/swine/Diemelstadt/7814/2008	H1N1	2008-10-24	Sus scrofa		Germany: Diemelstadt	Europe		1778
FJ549051.1	A/Texas/15/2008	H1N1	2008-10-26	Homo sapiens		USA: Texas state	North America		1698
KP458524.1	A/Stockholm/22/2008	H1N1	2008-11-04	Homo sapiens		Sweden	Europe		1695
CY105006.1	A/Hue/H409/2008	H1N1	2008-11-05	Homo sapiens		Viet Nam: Hue	Asia	MDCK passage(s)	1745
KP457690.1	A/Singapore/609/2008	H1N1	2008-11-10	Homo sapiens		Singapore	Asia		1695
KP637318.1	A/Thailand/KS08222/2008	H1N1	2008-11-17	Homo sapiens		Thailand: Chumphon	Asia		1704
KP456681.1	A/Liaoning Heping/1103/2008	H1N1	2008-12-08	Homo sapiens		China: Liaoning	Asia		1695
MK365671.1	A/swine/Freren/8297a/2008	H1N1	2008-12-10	Sus scrofa		Germany: Freren	Europe		1777
CY104942.1	A/DaNang/DN479/2008	H1N1	2008-12-15	Homo sapiens		Viet Nam: DaNang	Asia	MDCK passage(s)	1745
CY119290.1	A/Malaysia/2132379/2008	H1N1	2008-12-17	Homo sapiens		Malaysia	Asia	P1 passage(s)	1745
CY104595.1	A/Hue/H485/2008	H1N1	2008-12-27	Homo sapiens		Viet Nam: Hue	Asia	MDCK passage(s)	1744
CY100892.2	A/Piura/WRAIR1699P/2008	H1N1	2008-12-28	Homo sapiens		Peru: Piura	South America	MDCK2 passage(s)	1730
CY080602.2	A/Boston/80/2009	H1N1	2009-01-30	Homo sapiens		USA: Boston	North America	P0 passage(s)	1750
CY069485.1	A/Louisiana/WRAIR1170P/2009	H1N1	2009-02	Homo sapiens		USA: Louisiana	North America	MDCK2 passage(s)	1729
KP459289.1	A/Brisbane/12/2009	H1N1	2009-02-12	Homo sapiens		Australia: Queensland	Oceania		1695
MK365823.1	A/swine/Warendorf/9387/2009	H1N1	2009-04-09	Sus scrofa		Germany: Warendorf	Europe		1777
CY043086.1	A/Brawley/40081/2009(H1N1)	H1N1	2009-04-22	Homo sapiens		USA: Brawley, California	North America	MDCK2 passage(s)	1701
GQ457497.1	A/New York/15/2009	H1N1	2009-04-25	Homo sapiens		USA: New York state	North America		1701
CY147715.1	A/Mexico/24024/2009	H1N1	2009-04-27	Homo sapiens		Mexico	North America	P0 passage(s)	1701
CY074171.1	A/California/VRDL215/2009	H1N1	2009-04-28	Homo sapiens		USA: Alameda	North America	P0 passage(s)	1748
GQ258462.1	A/South Australia/2001/2009	H1N1	2009-05	Homo sapiens		Australia:South Australia	Oceania		1701
CY046363.1	A/Wisconsin/629-D00790/2009	H1N1	2009-05-04	Homo sapiens		USA: Wisconsin	North America	MDCK 1 passage(s)	1734
CY050887.1	A/Mexico City/018/2009	H1N1	2009-05-10	Homo sapiens		Mexico: Mexico City	North America		1733
HM567608.1	A/England/328/2009	H1N1	2009-05-28	Homo sapiens		United Kingdom: England, Southampton	Europe		1744
GQ334338.1	A/Fukuoka-C/3/2009	H1N1	2009-06-07	Homo sapiens		Japan	Asia		1701
CY095785.1	A/Shenzhen/40/2009	H1N1	2009-06-09	Homo sapiens		China: Shenzhen	Asia		1701
CY075187.1	A/Chile/1599/2009	H1N1	2009-06-15	Homo sapiens		Chile: Santiago	South America	MDCK2 passage(s)	1734
CY075211.1	A/Chile/1624/2009	H1N1	2009-06-15	Homo sapiens		Chile: Santiago	South America	MDCK2 passage(s)	1734
CY083336.1	A/San Diego/WRAIR1654P/2009	H1N1	2009-06-15	Homo sapiens		USA: San Diego	North America	MDCK2 passage(s)	1701
CY047827.1	A/Argentina/8019/2009(H1N1)	H1N1	2009-06-18	Homo sapiens		Argentina	South America	MDCK 1 passage(s)	1701
CY051447.1	A/Wisconsin/629-S0345/2009	H1N1	2009-06-18	Homo sapiens		USA: SE Wisconsin	North America	MDCK 1 passage(s)	1734
CY075243.1	A/Chile/2362/2009	H1N1	2009-06-22	Homo sapiens		Chile: Santiago	South America	MDCK2 passage(s)	1734
CY047947.1	A/Argentina/9597/2009(H1N1)	H1N1	2009-06-24	Homo sapiens		Argentina	South America	MDCK 1 passage(s)	1701
CY070173.1	A/England/513/2009	H1N1	2009-06-24	Homo sapiens		United Kingdom: Southampton	Europe	C1 passage(s)	1701
CY070178.1	A/England/520/2009	H1N1	2009-06-29	Homo sapiens		United Kingdom: London	Europe	C1 passage(s)	1701
CY047772.1	A/Argentina/15765/2009(H1N1)	H1N1	2009-07-01	Homo sapiens		Argentina	South America		1701
CY070193.1	A/England/542/2009	H1N1	2009-07-02	Homo sapiens		United Kingdom: Middlesex	Europe	C1 passage(s)	1701
CY072758.1	A/Managua/435.01/2009	H1N1	2009-07-02	Homo sapiens		Nicaragua: Managua	North America		1734
CY070311.1	A/England/980/2009	H1N1	2009-07-09	Homo sapiens		United Kingdom: Leicester	Europe	C1 passage(s)	1701
CY070243.1	A/England/92900359/2009	H1N1	2009-07-12	Homo sapiens		United Kingdom: Southampton	Europe	C1 passage(s)	1701
JN256807.1	A/Hong Kong/H090-683-V2(0)/2009	H1N1	2009-07-14	Homo sapiens		China: Hong Kong	Asia		1701
HM569699.1	A/Argentina/07AR/2009	H1N1	2009-07-15	Homo sapiens		Argentina: Buenos Aires	South America		1701
KC967086.1	A/Rio de Janeiro/3701/2009	H1N1	2009-07-15	Homo sapiens		Brazil: Rio de Janeiro	South America		1701
GU576506.1	A/Ancona/17/2009	H1N1	2009-07-17	Homo sapiens		Italy	Europe		1701
CY052048.1	A/Rio Grande do Sul/4509/2009(H1N1)	H1N1	2009-07-18	Homo sapiens		Brazil: Rio Grande do Sul	South America		1701
CY055589.1	A/Australia/15/2009	H1N1	2009-07-20	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055542.1	A/Australia/9/2009	H1N1	2009-07-20	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055700.1	A/Australia/36/2009	H1N1	2009-07-24	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055732.1	A/Australia/42/2009	H1N1	2009-07-25	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055764.1	A/Australia/47/2009	H1N1	2009-07-27	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
KF700933.1	A/Rio de Janeiro/6529/2009	H1N1	2009-07-30	Homo sapiens		Brazil	South America		1701
CY055812.1	A/Australia/57/2009	H1N1	2009-08-01	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055820.1	A/Australia/58/2009	H1N1	2009-08-01	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
CY055836.1	A/Australia/60/2009	H1N1	2009-08-02	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
KC782043.1	A/North Carolina/28/2009	H1N1	2009-08-05	Homo sapiens		USA	North America		1701
KJ690408.1	A/Uganda/MUWRP-066/2009	H1N1	2009-08-05	Homo sapiens		Uganda	Africa		1777
KT181097.1	A/Singapore/DMS21/2009	H1N1	2009-08-07	Homo sapiens		Singapore	Asia		1701
CY120092.1	A/Hong Kong/H090-779-V20/2009	H1N1	2009-08-08	Homo sapiens		Hong Kong	Asia	P0 passage(s)	1752
HQ595249.1	A/Sao Paulo/60208/2009	H1N1	2009-08-11	Homo sapiens		Brazil	South America		1701
CY055908.1	A/Australia/73/2009	H1N1	2009-08-12	Homo sapiens		Australia: Castle Hill, New South Wales	Oceania		1734
HM624086.1	A/Perth/260/2009	H1N1	2009-08-13	Homo sapiens		Australia	Oceania		1701
CY080407.1	A/swine/VIC/09-02797-62/2009	H1N1	2009-08-19	Sus scrofa		Australia: VIC	Oceania		1747
CY060447.1	A/Rio de Janeiro/14601/2009	H1N1	2009-08-24	Homo sapiens		Brazil: RJ	South America		1701
HQ595268.1	A/Sao Paulo/70218/2009	H1N1	2009-08-27	Homo sapiens		Brazil	South America		1701
CY123657.1	A/Singapore/ON1934/2009	H1N1	2009-09-01	Homo sapiens		Singapore	Asia	C1 passage(s)	1777
CY055932.1	A/Australia/81/2009	H1N1	2009-09-02	Homo sapiens		Australia: Merrylands, New South Wales	Oceania		1734
KM219035.1	A/Mumbai/3165/2009	H1N1	2009-09-12	Homo sapiens		India: Mumbai	Asia		1757
CY103930.1	A/Pernambuco/567/2009	H1N1	2009-09-12	Homo sapiens		Brazil: PE	South America		1701
HM189362.1	A/Kaliningrad/CRIE-ZD/2009	H1N1	2009-09-25	Homo sapiens		Russia	Europe		1701
OR873965.1	A/Kenya/CDC-Siaya/012/2009	H1N1	2009-09-29	Homo sapiens		Kenya	Africa		1701
CY062354.1	A/Egypt/N10305/2009	H1N1	2009-10	Homo sapiens		Egypt	Africa	C1 passage(s)	1701
CY062358.1	A/Egypt/N10297/2009	H1N1	2009-10-07	Homo sapiens		Egypt	Africa	C1 passage(s)	1701
CY096030.1	A/Zhejiang/97/2009	H1N1	2009-10-12	Homo sapiens		China: Zhejiang	Asia		1701
CY071554.2	A/Amman/WR1324N/2009	H1N1	2009-10-18	Homo sapiens		Jordan: Amman	Asia	MDCK2 passage(s)	1701
OR873962.1	A/Kenya/CDC-Siaya/008/2009	H1N1	2009-10-18	Homo sapiens		Kenya	Africa		1701
CY057254.1	A/New York/5186/2009	H1N1	2009-10-19	Homo sapiens		USA: Chemung County, New York	North America		1734
CY060574.2	A/Ontario/29801/2009	H1N1	2009-10-19	Homo sapiens		Canada: Ontario	North America	MDCK1 passage(s)	1744
AB558333.1	A/Sendai/TU438/2009	H1N1	2009-10-20	Homo sapiens		Japan: Miyagi, Sendai	Asia	Canis lupus familiaris MDCK cells	1701
OR873748.1	A/Kenya/CDC-Kakamega/018/2009	H1N1	2009-10-22	Homo sapiens		Kenya	Africa		1701
OP862006.1	A/Nepal/FLUNP09C-054/2009	H1N1	2009-10-30	Homo sapiens		Nepal	Asia		1701
CY062366.1	A/Egypt/N14645/2009	H1N1	2009-11	Homo sapiens		Egypt	Africa	C1 passage(s)	1701
OR873873.1	A/Kenya/CDC-Nakuru/080/2009	H1N1	2009-11-02	Homo sapiens		Kenya	Africa		1701
OR873911.1	A/Kenya/CDC-Nyeri/012/2009	H1N1	2009-11-06	Homo sapiens		Kenya	Africa		1701
OR873880.1	A/Kenya/CDC-Nakuru/089/2009	H1N1	2009-11-10	Homo sapiens		Kenya	Africa		1701
CY070581.1	A/England/94720080/2009	H1N1	2009-11-13	Homo sapiens		United Kingdom: Cheshire	Europe	C1 passage(s)	1701
CY070587.1	A/England/849/2009	H1N1	2009-11-17	Homo sapiens		United Kingdom: Leeds	Europe	C1 passage(s)	1701
MN250972.1	A/MUWRP-Uganda/343/2009	H1N1	2009-11-24	Homo sapiens		Uganda	Africa		1776
KC190042.1	A/Sri Lanka/2005/2009	H1N1	2009-11-27	Homo sapiens		Sri Lanka	Asia		1701
OR874006.1	A/Kenya/Kilifi/006/2009	H1N1	2009-11-28	Homo sapiens		Kenya	Africa		1701
CY069218.1	A/Munich/INS363/2009	H1N1	2009-11-30	Homo sapiens		Germany: Munich	Europe	P0 passage(s)	1734
CY071946.1	A/Egypt/N14328/2009	H1N1	2009-12	Homo sapiens		Egypt	Africa		1701
CY071818.1	A/Addis Ababa/WR2848N/2009	H1N1	2009-12-01	Homo sapiens		Ethiopia: Addis Ababa	Africa		1695
CY070645.1	A/Scotland/99/2009	H1N1	2009-12-01	Homo sapiens		United Kingdom: Edinburgh	Europe	C1 passage(s)	1701
KP317217.1	A/Jammu & Kashmir/013/2009	H1N1	2009-12-04	Homo sapiens		India: Jammu & Kashmir	Asia		1701
CY111051.1	A/Taiwan/NTU9129/2009	H1N1	2009-12-07	Homo sapiens		Taiwan: Taipei	Asia	MDCK2 passage(s)	1692
CY069178.1	A/Athens/INS355/2009	H1N1	2009-12-22	Homo sapiens		Greece: Athens	Europe	P0 passage(s)	1734
CY071954.1	A/Egypt/N00238/2010	H1N1	2010-01	Homo sapiens		Egypt	Africa		1701
JN381262.1	A/Taiwan/65078/2010	H1N1	2010-01	Homo sapiens		Taiwan	Asia		1701
JQ714167.1	A/Tianjinnankai/SWL49/2010	H1N1	2010-01-02	Homo sapiens		China	Asia		1701
CY071143.1	A/Athens/INS390/2010	H1N1	2010-01-14	Homo sapiens		Greece: Athens	Europe	P0 passage(s)	1734
CY062074.1	A/New York/1796/2010	H1N1	2010-01-15	Homo sapiens		USA: Nassau County, New York	North America	P0 passage(s)	1735
HM601436.1	A/Goias/16651/2010	H1N1	2010-01-29	Homo sapiens		Brazil: Goias	South America		1701
AB745261.1	A/Tottori/ST502/2010	H1N1	2010-02	Homo sapiens		Japan: Tottori	Asia	MDCK	1744
AB558538.1	A/Nagasaki/HA-10-15/2010	H1N1	2010-02-01	Homo sapiens		Japan:Nagasaki	Asia	Canis lupus familiaris MDCK cells	1701
CY071319.1	A/Athens/INS421/2010	H1N1	2010-02-03	Homo sapiens		Greece: Athens	Europe	P0 passage(s)	1734
KJ026373.1	A/Nigeria/1506/2010	H1N1	2010-02-04	Homo sapiens		Nigeria	Africa		1698
CY097789.1	A/Dakar/WRAIR0020T/2010	H1N1	2010-02-16	Homo sapiens		Senegal: Dakar	Africa	MDCK2 passage(s)	1701
OR873968.1	A/Kenya/CDC-Siaya/018/2010	H1N1	2010-02-19	Homo sapiens		Kenya	Africa		1701
JX309190.1	A/Singapore/TT114/2010	H1N1	2010-02-25	Homo sapiens		Singapore	Asia		1765
KJ026450.1	A/Ghana/FS-323/2010	H1N1	2010-02-26	Homo sapiens		Ghana	Africa		1698
